,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
743,Aliaksei Protas,21,WSH,C,33,330,282,53.9,2.1,243,206,54.1,2.4,10.2,91.5,101.7,59.7,40.3,11:50,10:50,8,15,2.3,61,55.7
744,Ivan Provorov,25,PHI,D,79,1377,1509,47.7,1.3,1041,1115,48.3,2.0,8.2,89.2,97.4,43.6,56.4,24:53,19:58,17,84,-5.8,322,52.8
745,Ethan Prow,29,BUF,D,4,43,52,45.3,-1.7,33,43,43.4,0.7,13.0,86.7,99.7,30.4,69.6,12:44,11:34,0,2,-1.0,3,66.7
746,Jesse Puljujarvi,23,EDM,RW,65,1115,781,58.8,9.3,850,620,57.8,9.3,8.7,93.6,102.3,60.7,39.3,16:14,14:45,27,18,10.7,264,60.6
747,Ryan Pulock,27,NYI,D,56,873,1026,46.0,1.2,663,763,46.5,1.2,10.0,91.3,101.3,42.4,57.6,21:08,18:09,15,33,-4.8,226,54.0
748,Valtteri Puustinen,22,PIT,RW,1,7,7,50.0,10.5,6,6,50.0,14.5,50.0,100.0,150.0,50.0,50.0,10:14,9:08,0,1,0.0,3,33.3
749,Mark Pysyk,30,BUF,D,68,839,999,45.6,-2.6,649,788,45.2,-1.8,8.6,92.7,101.3,41.2,58.8,17:49,15:44,21,20,-11.7,126,50.8
750,Jack Quinn,20,BUF,RW,2,17,27,38.6,6.1,13,21,38.2,8.0,10.0,95.0,105.0,39.1,60.9,14:53,11:54,1,0,-1.0,9,66.7
751,Darren Raddysh,25,TBL,D,4,43,37,53.8,2.5,32,25,56.1,3.5,10.0,94.7,104.7,50.0,50.0,10:40,10:25,1,0,0.0,5,40.0
752,Taylor Raddysh,23,TOT,RW,74,644,747,46.3,-2.4,484,566,46.1,-3.3,9.3,92.0,101.4,45.1,54.9,12:20,10:34,23,15,-0.3,163,63.8
753,Alexander Radulov,35,DAL,RW,71,757,805,48.5,-0.2,562,600,48.4,-0.4,6.2,89.9,96.1,55.5,44.5,14:06,11:59,30,27,1.0,189,48.7
754,Michael Raffl,33,DAL,LW,76,728,798,47.7,-1.8,555,586,48.6,-0.8,4.6,90.8,95.3,31.5,68.5,14:32,12:40,36,36,-5.4,151,62.3
755,Rickard Rakell,28,TOT,RW,70,1094,999,52.3,4.6,833,773,51.9,3.4,9.8,90.6,100.4,63.4,36.6,17:59,15:40,28,34,6.5,342,53.8
756,Sampo Ranta,21,COL,LW,10,81,97,45.5,-6.3,53,65,44.9,-5.7,2.3,90.6,92.9,40.0,60.0,10:54,9:10,4,1,-0.6,20,45.0
757,Mikko Rantanen,25,COL,RW,75,1384,1103,55.6,4.5,1028,856,54.6,4.4,13.6,89.7,103.4,58.2,41.8,20:59,16:57,48,49,9.4,459,55.3
758,Victor Rask,28,TOT,C,47,475,417,53.3,3.3,353,326,52.0,1.8,10.8,89.2,100.0,56.2,43.8,12:12,11:25,14,14,3.2,95,61.1
759,Adam Raska,20,SJS,RW,5,35,30,53.8,-1.3,26,22,54.2,-2.6,5.9,100.0,105.9,60.0,40.0,8:03,8:03,0,2,0.4,7,28.6
760,Michael Rasmussen,22,DET,C,80,723,950,43.2,-4.0,546,702,43.8,-2.6,9.6,88.3,97.8,41.3,58.7,14:31,12:22,29,16,-13.8,195,66.2
761,Isaac Ratcliffe,22,PHI,LW,10,73,86,45.9,-2.9,59,63,48.4,-2.1,5.0,92.5,97.5,52.5,47.5,10:45,9:42,2,1,0.7,22,63.6
762,Jack Rathbone,22,VAN,D,9,103,128,44.6,-8.3,77,97,44.3,-6.5,1.7,92.0,93.7,58.2,41.8,13:50,12:57,2,4,-2.1,22,45.5
763,Kyle Rau,29,MIN,C,5,32,51,38.6,-19.3,21,35,37.5,-16.3,0.0,89.7,89.7,37.0,63.0,8:49,8:25,0,0,-1.2,5,60.0
764,Lucas Raymond,19,DET,LW,82,1122,1174,48.9,3.7,843,935,47.4,2.3,9.0,87.1,96.2,53.5,46.5,18:09,15:19,26,36,-0.2,287,64.1
765,Ryan Reaves,35,NYR,RW,69,433,689,38.6,-10.7,325,518,38.6,-11.4,7.5,91.9,99.4,45.9,54.1,10:39,10:29,11,21,-11.7,73,60.3
766,Scott Reedy,22,SJS,C,35,227,355,39.0,-7.2,168,238,41.4,-6.0,6.9,91.4,98.4,49.1,50.9,11:11,9:37,6,5,-4.9,54,61.1
767,Alec Regula,21,CHI,D,15,203,235,46.3,-1.3,146,178,45.1,-1.8,9.6,89.7,99.3,39.3,60.7,17:53,15:51,8,13,0.3,41,43.9
768,Kristian Reichel,23,WPG,F,13,98,134,42.2,-5.8,78,98,44.3,-3.3,5.4,93.0,98.3,41.9,58.1,10:24,10:22,7,1,-0.8,30,60.0
769,Lukas Reichel,19,CHI,LW,11,108,128,45.8,-1.6,77,90,46.1,-0.7,1.6,87.8,89.4,75.4,24.6,13:12,11:39,6,7,-0.8,23,65.2
770,Mike Reilly,28,BOS,D,70,1291,995,56.5,3.2,1031,767,57.3,2.8,6.0,91.3,97.3,56.8,43.2,18:57,17:29,19,35,21.4,230,58.7
771,Cole Reinhardt,21,OTT,LW,1,7,9,43.8,-13.8,6,8,42.9,-6.2,0.0,100.0,100.0,0.0,100.0,8:35,8:35,0,1,-0.7,1,100.0
772,Sam Reinhart,26,FLA,C,78,1139,822,58.1,1.6,869,626,58.1,1.9,11.7,90.1,101.8,57.6,42.4,17:46,13:45,37,43,17.2,325,57.2
773,Sheldon Rempal,26,VAN,RW,1,0,1,0.0,-53.8,0,1,0.0,-49.3,,0.0,,,,9:11,9:11,0,0,-0.2,2,100.0
774,Dan Renouf,27,DET,D,4,38,32,54.3,13.4,28,22,56.0,16.7,12.5,73.7,86.2,45.2,54.8,14:00,13:49,1,1,-0.9,5,60.0
775,Brad Richardson,36,TOT,C,44,323,414,43.8,-10.6,239,312,43.4,-10.5,7.5,94.3,101.9,48.8,51.2,10:18,9:27,7,9,-6.4,69,44.9
776,Morgan Rielly,27,TOR,D,82,1611,1409,53.3,0.1,1237,1136,52.1,-1.2,11.5,89.3,100.8,52.5,47.5,23:44,19:09,40,76,15.5,384,57.6
777,Juuso Riikola,28,PIT,D,5,66,58,53.2,0.2,49,44,52.7,-1.7,10.3,94.4,104.7,57.6,42.4,13:23,11:40,0,1,0.4,14,50.0
778,Rasmus Ristolainen,27,PHI,D,66,1094,1300,45.7,-0.8,848,976,46.5,0.4,9.4,90.4,99.8,43.8,56.2,21:26,18:52,12,33,-3.0,200,48.5
779,Brett Ritchie,28,CGY,RW,41,407,316,56.3,1.8,314,238,56.9,3.3,5.9,89.7,95.7,58.1,41.9,9:43,9:40,3,11,1.6,91,60.4
780,Nick Ritchie,26,TOT,LW,57,601,610,49.6,2.1,428,495,46.4,-0.2,8.6,89.3,97.9,50.3,49.7,12:42,11:12,9,17,-2.2,159,58.5
781,Jason Robertson,22,DAL,LW,74,1293,1027,55.7,9.7,970,765,55.9,9.8,11.2,89.5,100.7,65.4,34.6,18:07,15:26,48,50,20.5,400,55.0
782,Nicholas Robertson,20,TOR,LW,10,98,90,52.1,-5.0,73,68,51.8,-5.5,2.0,90.7,92.7,59.6,40.4,10:16,9:47,3,4,-1.1,21,66.7
783,Buddy Robinson,30,ANA,RW,32,237,266,47.1,0.5,193,201,49.0,2.1,5.1,96.0,101.1,43.7,56.3,9:15,8:39,7,6,-0.2,51,74.5
784,Eric Robinson,26,CBJ,LW,67,682,728,48.4,0.2,504,563,47.2,0.5,9.1,91.7,100.8,33.7,66.3,13:54,11:32,30,12,-12.2,187,55.6
785,Evan Rodrigues,28,PIT,C,82,1185,897,56.9,6.9,902,655,57.9,7.0,8.1,90.1,98.1,51.7,48.3,15:50,13:30,33,32,12.3,393,62.1
786,Alexander Romanov,22,MTL,D,79,1205,1388,46.5,-0.8,890,1057,45.7,-1.0,9.6,90.5,100.1,42.7,57.3,20:24,17:42,24,78,-11.7,244,43.9
787,Kevin Rooney,28,NYR,C,61,442,724,37.9,-10.8,322,535,37.6,-11.9,7.7,94.8,102.5,43.4,56.6,13:50,11:33,22,19,-8.3,110,64.5
788,Calle Rosen,27,STL,D,18,237,223,51.5,6.1,188,177,51.5,6.9,9.8,88.2,98.0,52.8,47.2,14:20,13:56,3,11,3.0,39,46.2
789,Jack Roslovic,25,CBJ,C,81,893,922,49.2,1.7,680,730,48.2,1.8,10.7,91.3,101.9,66.3,33.7,14:17,11:59,32,35,-6.8,219,59.8
790,Marco Rossi,20,MIN,C,2,19,21,47.5,1.7,14,15,48.3,5.7,0.0,90.0,90.0,55.6,44.4,15:35,12:16,1,1,-0.1,7,71.4
791,Antoine Roussel,32,ARI,LW,53,425,562,43.1,-3.0,310,437,41.5,-5.0,5.4,91.2,96.6,35.6,64.4,12:09,10:22,9,16,-10.9,103,57.3
792,Carter Rowney,32,DET,RW,26,178,236,43.0,-2.5,133,163,44.9,-0.5,11.7,86.7,98.4,38.2,61.8,10:40,10:15,4,5,-2.8,27,55.6
793,Matt Roy,26,LAK,D,67,1265,1014,55.5,1.9,976,742,56.8,2.7,8.4,92.6,100.9,49.4,50.6,20:59,18:10,8,49,9.3,276,55.4
794,Nicolas Roy,24,VEG,C,78,1137,941,54.7,2.5,834,701,54.3,0.6,9.4,91.3,100.7,51.6,48.4,16:15,13:11,34,38,9.5,238,60.9
795,Kristians Rubins,24,TOR,D,3,29,27,51.8,-0.1,23,17,57.5,7.2,6.3,75.0,81.3,66.7,33.3,11:45,11:20,0,3,0.5,6,83.3
796,Chad Ruhwedel,31,PIT,D,78,996,876,53.2,2.0,784,653,54.6,2.7,8.4,91.0,99.3,50.5,49.5,15:20,13:35,19,21,11.5,181,45.3
797,Arttu Ruotsalainen,24,BUF,F,18,155,172,47.4,0.1,114,134,46.0,-0.7,6.0,94.1,100.1,50.0,50.0,11:53,10:37,5,0,-1.3,37,62.2
798,Kris Russell,34,EDM,D,31,372,408,47.7,-6.1,273,297,47.9,-4.8,10.7,92.4,103.1,47.6,52.4,15:26,13:39,3,14,0.5,66,51.5
799,Bryan Rust,29,PIT,RW,60,927,873,51.5,-0.5,715,674,51.5,-1.8,10.9,91.5,102.3,60.2,39.8,18:46,14:34,22,36,2.7,302,59.6
800,Jan Rutta,31,TBL,D,76,1051,981,51.7,0.5,799,758,51.3,-0.7,11.6,92.1,103.7,53.0,47.0,16:23,15:11,6,18,8.4,198,43.4
801,Adam Ruzicka,22,CGY,C,28,284,219,56.5,-1.4,220,176,55.6,-2.3,8.9,95.8,104.7,60.6,39.4,10:13,9:59,6,11,2.7,58,56.9
802,Derek Ryan,35,EDM,C,75,653,601,52.1,-0.5,489,443,52.5,1.3,9.3,88.4,97.8,39.2,60.8,11:26,9:38,26,15,0.3,118,61.0
803,Jonas Røndbjerg,22,VEG,RW,30,214,243,46.8,-5.1,155,163,48.7,-4.5,10.0,91.9,101.9,53.8,46.2,10:01,9:30,8,5,-0.6,50,60.0
804,Brandon Saad,29,STL,LW,78,909,961,48.6,2.2,674,775,46.5,-0.2,11.1,92.0,103.1,43.9,56.1,16:16,13:37,45,25,-2.2,236,66.9
805,Scott Sabourin,29,OTT,F,7,51,70,42.1,-6.3,41,50,45.1,-3.4,12.0,88.1,100.1,36.4,63.6,7:36,7:36,1,2,-0.8,10,40.0
806,Robin Salo,23,NYI,D,21,232,281,45.2,-5.3,159,209,43.2,-8.1,6.1,91.2,97.4,53.6,46.4,16:41,15:09,5,14,-5.1,43,55.8
807,Dylan Samberg,23,WPG,D,15,170,187,47.6,-2.8,145,151,49.0,-0.9,10.8,92.7,103.4,52.3,47.7,14:51,14:06,6,11,-0.2,28,50.0
808,Dmitri Samorukov,22,EDM,D,1,6,6,50.0,-2.7,4,5,44.4,-8.0,0.0,60.0,60.0,,,2:28,2:28,0,0,-0.4,1,0.0
809,Mattias Samuelsson,21,BUF,D,42,603,665,47.6,-1.9,471,525,47.3,-1.2,9.9,88.1,98.0,38.5,61.5,19:60,17:38,8,28,-6.6,83,53.0
810,Linus Sandin,25,PHI,F,1,1,8,11.1,-30.4,1,5,16.7,-21.3,0.0,100.0,100.0,14.3,85.7,6:59,6:41,1,0,0.0,1,100.0
811,Rasmus Sandin,21,TOR,D,51,838,689,54.9,2.4,620,523,54.2,2.8,9.1,91.9,101.0,53.0,47.0,16:58,15:32,18,24,13.1,122,37.7
812,Zach Sanford,27,TOT,LW,80,836,1021,45.0,-4.1,628,757,45.3,-4.1,7.6,91.9,99.5,40.1,59.9,14:18,12:34,36,22,-12.1,209,49.8
813,Travis Sanheim,25,PHI,D,80,1464,1607,47.7,1.2,1108,1219,47.6,0.8,10.2,91.4,101.6,42.3,57.7,22:58,20:09,23,55,2.5,249,49.4
814,David Savard,31,MTL,D,62,912,1173,43.7,-3.7,688,895,43.5,-3.1,8.9,89.8,98.6,42.8,57.2,20:47,17:55,7,63,-18.6,127,52.0
815,Marco Scandella,31,STL,D,70,835,1088,43.4,-4.9,648,866,42.8,-5.3,12.7,92.5,105.2,32.0,68.0,18:08,15:55,18,38,-4.5,142,53.5
816,Colton Sceviour,32,EDM,C/RW,35,240,242,49.8,-3.4,172,183,48.5,-3.5,7.5,89.0,96.5,36.4,63.6,9:28,7:55,9,10,-2.3,60,63.3
817,Mark Scheifele,28,WPG,C,67,1155,1143,50.3,1.1,881,870,50.3,1.3,10.7,87.5,98.2,59.2,40.8,21:08,17:35,49,60,1.2,264,60.2
818,Brayden Schenn,30,STL,C,62,726,897,44.7,-2.5,544,710,43.4,-4.1,15.7,91.3,107.0,45.6,54.4,17:47,14:53,42,28,-4.6,197,56.3
819,Luke Schenn,32,VAN,D,66,876,872,50.1,0.4,657,660,49.9,0.0,9.0,93.5,102.5,50.3,49.7,17:13,15:16,7,42,0.9,163,47.9
820,Nick Schmaltz,25,ARI,C,63,821,961,46.1,2.9,636,746,46.0,3.8,14.6,89.0,103.7,46.7,53.3,18:15,15:20,52,42,-11.8,212,58.0
821,Nate Schmidt,30,WPG,D,77,1276,1286,49.8,0.4,959,999,49.0,-0.7,7.8,91.6,99.3,56.0,44.0,20:13,17:52,32,66,-5.0,257,45.5
822,Braden Schneider,20,NYR,D,43,445,619,41.8,-9.9,319,463,40.8,-11.6,10.1,93.9,104.0,50.2,49.8,15:29,14:53,7,20,-6.1,65,38.5
823,Corey Schueneman,26,MTL,D,24,310,373,45.4,-2.7,230,280,45.1,-2.3,5.8,93.2,99.1,54.6,45.4,16:36,15:12,6,13,-5.9,65,46.2
824,Justin Schultz,31,WSH,D,74,1050,992,51.4,0.9,790,722,52.2,0.5,8.1,89.2,97.3,58.4,41.6,16:55,15:26,13,25,1.2,205,44.9
825,Jaden Schwartz,29,SEA,C,37,573,516,52.6,3.8,446,397,52.9,4.2,9.0,85.4,94.4,54.5,45.5,18:27,15:55,28,16,3.7,168,60.1
826,Cole Schwindt,20,FLA,RW,3,37,33,52.9,-1.8,24,24,50.0,-4.4,0.0,80.0,80.0,65.5,34.5,14:08,14:08,1,2,-0.6,10,30.0
827,Nick Seeler,28,PHI,D,43,424,531,44.4,-4.0,316,384,45.1,-2.7,7.8,91.8,99.6,51.9,48.1,13:05,12:14,4,17,-6.4,67,47.8
828,Tyler Seguin,30,DAL,C,81,1108,1226,47.5,-2.2,819,926,46.9,-3.1,8.3,89.7,98.1,50.4,49.6,17:49,15:07,26,48,-9.0,345,63.2
829,Moritz Seider,20,DET,D,82,1318,1443,47.7,2.3,992,1105,47.3,2.3,10.1,89.2,99.3,46.3,53.7,23:02,18:14,41,48,-6.7,355,52.7
830,Andrej Sekera,35,DAL,D,32,327,419,43.8,-6.7,249,303,45.1,-4.9,7.0,92.8,99.8,39.0,61.0,13:43,12:49,3,14,-3.6,53,49.1
831,Kirill Semyonov,27,TOR,C,3,12,30,28.6,-16.5,10,27,27.0,-18.0,12.5,86.4,98.9,33.3,66.7,10:02,9:07,0,1,-1.2,4,25.0
832,Brett Seney,25,TOR,LW,2,6,20,23.1,-22.5,3,12,20.0,-26.0,0.0,100.0,100.0,66.7,33.3,7:01,6:59,0,1,-0.6,2,50.0
833,Zachary Senyshyn,24,OTT,RW,2,4,11,26.7,-16.5,4,5,44.4,1.7,0.0,66.7,66.7,16.7,83.3,6:32,6:32,0,0,-0.4,1,0.0
834,Mikhail Sergachev,23,TBL,D,78,1266,1271,49.9,-1.5,976,955,50.5,-0.9,9.8,90.9,100.7,52.0,48.0,22:28,18:49,23,39,5.2,283,52.7
835,Damon Severson,27,NJD,D,80,1398,1348,50.9,0.4,1067,1054,50.3,0.0,8.8,89.2,98.0,45.5,54.5,23:36,18:44,38,63,5.4,312,50.6
836,Michael Sgarbossa,29,WSH,C,10,105,84,55.6,4.9,84,65,56.4,6.7,9.1,94.0,103.1,53.1,46.9,9:54,9:09,1,3,1.3,14,78.6
837,Yegor Sharangovich,23,NJD,C,76,1083,990,52.2,1.5,805,778,50.9,0.1,11.1,86.4,97.4,58.1,41.9,16:30,14:14,48,44,3.2,294,57.1
838,Kevin Shattenkirk,33,ANA,D,82,1187,1382,46.2,-2.0,905,1028,46.8,-1.0,9.1,90.2,99.3,48.7,51.3,21:25,17:13,38,58,-4.5,295,55.3
839,Logan Shaw,30,OTT,RW,17,114,151,43.0,-2.3,81,111,42.2,-3.6,10.3,90.0,100.3,22.7,77.3,9:23,8:09,11,3,-1.1,22,77.3
840,Mason Shaw,23,MIN,C,3,32,23,58.2,10.7,25,18,58.1,11.5,0.0,87.5,87.5,25.0,75.0,8:59,8:57,3,1,-0.5,10,70.0
841,Riley Sheahan,30,SEA,C,69,590,569,50.9,-0.8,432,421,50.6,-0.4,9.7,91.1,100.8,38.2,61.8,12:03,9:54,18,12,0.6,109,63.3
842,Conor Sheary,29,WSH,LW,71,868,880,49.7,-1.2,671,654,50.6,-1.4,9.5,90.3,99.8,58.0,42.0,15:17,13:10,38,12,-0.9,214,60.3
843,Kiefer Sherwood,26,COL,RW,11,78,76,50.6,-0.1,58,52,52.7,3.2,11.6,94.6,106.2,51.4,48.6,8:34,7:58,4,1,1.0,14,64.3
844,Kole Sherwood,25,NSH,RW,1,9,7,56.3,-1.7,8,4,66.7,10.9,0.0,100.0,100.0,100.0,0.0,8:08,8:08,0,0,0.3,3,66.7
845,Devin Shore,27,EDM,C,49,348,358,49.3,-4.1,269,272,49.7,-2.3,8.2,89.9,98.2,46.1,53.9,9:34,8:23,15,8,-5.0,65,55.4
846,Jonas Siegenthaler,24,NJD,D,70,1140,1088,51.2,0.0,861,828,51.0,0.1,9.2,89.1,98.3,41.7,58.3,20:34,18:08,17,52,2.1,190,48.4
847,Dylan Sikura,26,COL,C,5,42,31,57.5,5.1,27,21,56.3,4.5,10.0,86.7,96.7,42.3,57.7,9:57,9:35,2,0,0.2,4,75.0
848,Jakob Silfverberg,31,ANA,LW,53,531,666,44.4,-5.5,408,502,44.8,-5.2,7.9,91.1,99.0,30.5,69.5,17:02,13:07,30,16,-4.3,183,65.6
849,Cole Sillinger,18,CBJ,C,79,855,934,47.8,-0.3,641,733,46.7,-0.3,8.6,89.0,97.6,58.0,42.0,13:42,12:25,24,24,-10.3,254,58.3
850,Radim Simek,29,SJS,D,36,346,416,45.4,-0.5,250,292,46.1,-0.9,5.4,89.1,94.5,46.2,53.8,13:17,12:56,10,15,-1.3,49,51.0
851,Wayne Simmonds,33,TOR,RW,72,567,592,48.9,-5.6,415,463,47.3,-7.0,7.3,91.3,98.6,55.5,44.5,9:20,9:05,15,18,2.0,133,59.4
852,Dominik Simon,27,TOT,C,72,699,582,54.6,4.4,545,425,56.2,5.7,6.8,91.5,98.3,41.0,59.0,10:17,9:52,22,20,2.7,138,63.8
853,Colton Sissons,28,NSH,C,79,846,920,47.9,-1.7,649,701,48.1,-2.2,8.9,92.4,101.3,34.3,65.7,16:10,12:48,19,25,-5.9,163,53.4
854,Jeff Skinner,29,BUF,LW/C,80,1163,1088,51.7,4.5,903,882,50.6,4.4,10.2,87.8,98.0,60.0,40.0,17:06,14:17,51,52,4.6,406,64.5
855,Brady Skjei,27,CAR,D,82,1557,1309,54.3,-2.4,1188,1049,53.1,-3.4,9.7,92.0,101.7,50.4,49.6,21:09,18:31,51,62,5.3,330,55.8
856,Jaccob Slavin,27,CAR,D,79,1538,1213,55.9,-0.1,1196,943,55.9,0.8,10.6,91.6,102.2,55.8,44.2,23:32,18:53,74,43,14.9,341,48.4
857,Josiah Slavin,23,CHI,LW,15,133,162,45.1,-1.9,93,121,43.5,-3.8,2.9,97.7,100.6,26.2,73.8,12:02,10:57,4,3,-0.8,23,56.5
858,Brendan Smith,32,CAR,D,45,576,428,57.4,1.4,450,329,57.8,3.2,7.6,91.4,99.1,55.8,44.2,13:55,12:50,12,13,5.5,128,49.2
859,C.J. Smith,27,CAR,LW,1,9,17,34.6,-20.9,9,15,37.5,-16.7,0.0,90.9,90.9,100.0,0.0,9:22,9:22,0,2,-0.9,2,0.0
860,Cole Smith,26,NSH,F,8,47,59,44.3,-10.2,40,48,45.5,-9.7,3.3,88.9,92.2,48.1,51.9,8:50,8:04,3,2,-0.5,6,50.0
861,Craig Smith,32,BOS,C,74,975,791,55.2,1.3,769,600,56.2,1.0,7.6,90.6,98.2,51.9,48.1,14:25,12:50,21,30,10.9,318,58.8
862,Gemel Smith,27,DET,C,3,7,24,22.6,-24.2,6,19,24.0,-21.4,25.0,82.4,107.4,35.7,64.3,6:46,6:42,0,0,-1.8,1,100.0
863,Givani Smith,23,DET,RW,46,313,366,46.1,-1.1,224,269,45.4,-1.7,7.1,91.0,98.1,53.7,46.3,8:28,8:28,7,8,-1.8,83,60.2
864,Nathan Smith,23,ARI,C,10,102,115,47.0,4.5,84,94,47.2,5.4,9.8,89.1,98.9,52.8,47.2,14:09,12:26,1,12,-0.9,22,63.6
865,Reilly Smith,30,VEG,RW,56,888,710,55.6,4.5,679,510,57.1,5.1,7.9,89.5,97.4,53.8,46.2,17:47,14:13,29,42,9.8,250,60.0
866,Ty Smith,21,NJD,D,66,1005,1023,49.6,-1.2,766,792,49.2,-2.0,7.9,87.7,95.6,61.5,38.5,17:30,16:03,13,40,-0.8,187,41.2
867,Joe Snively,26,WSH,F,12,111,129,46.3,-3.0,83,96,46.4,-2.9,15.0,91.2,106.2,62.5,37.5,11:33,11:15,7,1,-1.4,35,60.0
868,Victor Soderstrom,20,ARI,D,16,158,230,40.7,-4.7,127,172,42.5,-2.8,4.7,90.6,95.2,46.4,53.6,16:19,15:02,1,6,-1.8,31,45.2
869,Egor Sokolov,21,OTT,F,8,74,78,48.7,-0.5,57,62,47.9,-1.0,4.4,83.3,87.8,53.1,46.9,10:22,9:37,1,0,-0.4,14,57.1
870,Carson Soucy,27,SEA,D,64,841,822,50.6,0.8,640,627,50.5,1.3,9.7,89.9,99.6,49.7,50.3,17:40,15:25,23,29,4.5,169,57.4
871,Blake Speers,25,ARI,C,2,6,22,21.4,-31.2,4,18,18.2,-37.0,0.0,70.0,70.0,20.0,80.0,9:10,8:52,1,1,-1.4,2,50.0
872,Jordan Spence,20,LAK,D,24,423,321,56.9,5.2,310,237,56.7,3.3,7.5,90.4,98.0,55.6,44.4,19:45,17:28,3,11,0.6,99,41.4
873,Jason Spezza,38,TOR,C,71,609,582,51.1,-2.5,453,462,49.5,-3.9,6.7,92.5,99.3,57.9,42.1,10:45,9:10,32,31,6.0,175,55.4
874,Daniel Sprong,24,TOT,RW,63,748,700,51.7,0.7,584,527,52.6,1.3,7.6,92.6,100.2,58.8,41.2,12:59,11:47,20,24,-0.3,269,56.9
875,Jared Spurgeon,32,MIN,D,65,1071,857,55.5,5.4,818,650,55.7,5.5,11.8,91.7,103.4,57.2,42.8,21:09,16:06,13,14,11.5,234,49.6
876,Jordan Staal,33,CAR,C,78,1089,799,57.7,2.4,850,623,57.7,3.4,9.2,90.4,99.6,51.6,48.4,16:38,13:42,34,51,11.2,234,62.4
877,Marc Staal,35,DET,D,71,852,1005,45.9,-0.6,660,758,46.5,1.0,12.4,88.8,101.2,46.4,53.6,17:25,15:08,13,29,-10.0,141,53.9
878,Steven Stamkos,31,TBL,C,81,1099,1023,51.8,1.2,859,789,52.1,1.2,14.7,89.8,104.5,55.3,44.7,18:29,14:21,30,24,8.4,401,60.1
879,Logan Stanley,23,WPG,D,58,669,735,47.6,-2.5,510,538,48.7,-1.2,7.2,92.7,99.9,56.7,43.3,15:39,13:11,13,56,-4.4,180,44.4
880,Paul Stastny,36,WPG,C,71,1010,915,52.5,5.0,777,700,52.6,5.1,11.2,90.1,101.3,56.0,44.0,17:47,14:43,38,21,9.6,196,71.9
881,Troy Stecher,27,TOT,D,29,411,436,48.5,0.6,328,337,49.3,1.6,6.0,91.4,97.4,50.4,49.6,16:40,15:41,7,19,-3.1,87,57.5
882,Sam Steel,23,ANA,C,68,632,743,46.0,-2.9,476,558,46.0,-2.7,7.3,89.4,96.8,46.3,53.7,12:19,11:20,18,20,-5.4,125,53.6
883,Oskar Steen,23,BOS,C,20,183,162,53.0,0.4,154,126,55.0,2.0,6.0,90.8,96.8,54.4,45.6,11:04,10:34,9,5,3.1,43,58.1
884,Alex Steeves,22,TOR,F,3,16,19,45.7,-6.9,12,16,42.9,-9.8,11.1,81.8,92.9,62.5,37.5,7:58,7:58,3,0,0.0,5,40.0
885,Kevin Stenlund,25,CBJ,C,3,19,23,45.2,-7.2,13,18,41.9,-9.8,0.0,100.0,100.0,70.0,30.0,7:32,7:32,1,0,0.1,4,75.0
886,Derek Stepan,31,CAR,C,58,595,457,56.6,1.7,446,349,56.1,2.0,7.8,90.1,97.8,51.4,48.6,10:48,9:46,22,13,5.5,145,66.2
887,Mitchell Stephens,24,DET,C,27,170,276,38.1,-8.0,124,220,36.0,-10.4,7.5,90.6,98.1,33.6,66.4,11:11,9:44,5,7,-6.7,38,44.7
888,Chandler Stephenson,27,VEG,C,79,1248,1175,51.5,-1.6,931,837,52.7,-1.4,11.1,88.8,99.9,54.0,46.0,19:18,15:31,40,32,12.3,195,64.1
889,Riley Stillman,23,CHI,D,52,569,801,41.5,-5.0,418,601,41.0,-5.8,9.5,91.5,101.0,52.1,47.9,15:04,13:54,11,29,-6.8,117,41.9
890,Mark Stone,29,VEG,RW,37,539,519,50.9,-1.2,406,358,53.1,0.5,10.9,90.4,101.3,56.0,44.0,18:21,14:59,56,29,7.0,118,60.2
891,Michael Stone,31,CGY,D,11,164,160,50.6,-4.0,125,125,50.0,-4.7,8.5,95.2,103.7,52.0,48.0,17:27,15:31,1,4,-1.1,59,40.7
892,Anton Stralman,35,ARI,D,74,1069,1336,44.4,-0.2,819,1056,43.7,-0.5,11.1,89.1,100.2,36.8,63.2,21:20,18:14,32,28,-18.6,181,52.5
893,Austin Strand,24,LAK,D,8,98,71,58.0,3.3,74,61,54.8,-0.9,6.8,88.6,95.4,47.5,52.5,15:17,14:13,2,4,2.2,14,64.3
894,Dylan Strome,24,CHI,C,69,940,984,48.9,4.0,711,725,49.5,4.9,9.2,90.1,99.3,71.4,28.6,17:26,14:41,47,22,1.4,183,68.9
895,Ryan Strome,28,NYR,C,74,1035,1038,49.9,4.5,777,801,49.2,2.6,11.5,91.2,102.7,55.0,45.0,18:19,14:58,32,37,-2.3,257,62.6
896,Marian Studenic,23,TOT,RW,33,302,316,48.9,-0.8,230,240,48.9,-0.9,5.4,91.5,96.9,42.4,57.6,11:09,10:28,13,10,-1.0,72,58.3
897,Jack Studnicka,22,BOS,C,15,163,153,51.6,-4.0,125,115,52.1,-4.8,3.2,89.6,92.8,50.0,50.0,12:35,11:41,3,11,0.7,37,56.8
